title,avg_rating,Class
"Door in the Woods",3.4,"Flop movie"
Downrange,5.4,"One-time-watch movie"
"Downward Twin",4.1,"Flop movie"
Dressage,5.7,"One-time-watch movie"
Drifter,3.6,"Flop movie"
Drive,2.3,"Flop movie"
Driven,6.2,"One-time-watch movie"
Drone,5.3,"One-time-watch movie"
Duelles,6.2,"One-time-watch movie"
Dukun,6.9,"One-time-watch movie"
"Duverný neprítel",5.5,"One-time-watch movie"
E-Demon,3.3,"Flop movie"
"Easy Living",4.8,"Flop movie"
ECCO,5.0,"One-time-watch movie"
"Edge of Fear",4.4,"Flop movie"
"Edge of Isolation",3.4,"Flop movie"
"El ataúd de cristal",5.3,"One-time-watch movie"
"El bar",6.3,"One-time-watch movie"
"El Complot Mongol",5.7,"One-time-watch movie"
"El crack cero",7.4,"Hit movie"
"El desentierro",4.9,"Flop movie"
"El guardián invisible",6.3,"One-time-watch movie"
"El Hijo",5.4,"One-time-watch movie"
"El Hoyo",7.3,"Hit movie"
"El otro hermano",6.5,"One-time-watch movie"
"El pacto",5.3,"One-time-watch movie"
"El reino",7.3,"Hit movie"
"El silencio de la ciudad blanca",5.4,"One-time-watch movie"
El-Khaliyyah,6.5,"One-time-watch movie"
"Elizabeth Harvest",5.7,"One-time-watch movie"
Elle,7.1,"Hit movie"
Eloise,4.6,"Flop movie"
"Empathy, Inc.",4.3,"Flop movie"
"En affære",5.7,"One-time-watch movie"
Enclosure,4.1,"Flop movie"
"End Trip",7.3,"Hit movie"
Enigma,8.8,"Superhit movie"
"Escape Plan: The Extractors",4.4,"Flop movie"
"Escape Room",4.2,"Flop movie"
Eshtebak,7.5,"Hit movie"
Eter,5.5,"One-time-watch movie"
Evaru,8.3,"Superhit movie"
Everfall,3.5,"Flop movie"
"Every Time I Die",4.7,"Flop movie"
Excursion,7.3,"Hit movie"
ExPatriot,4.1,"Flop movie"
Extracurricular,6.2,"One-time-watch movie"
"Extracurricular Activities",6.1,"One-time-watch movie"
Eyewitness,4.7,"Flop movie"
Ezra,6.7,"One-time-watch movie"
F20,5.1,"One-time-watch movie"
"Face of Evil",2.8,"Flop movie"
"Fahrenheit 451",4.9,"Flop movie"
"Falaknuma Das",6.3,"One-time-watch movie"
"Family Blood",4.2,"Flop movie"
"Family Vanished",4.3,"Flop movie"
Fantasma,4.2,"Flop movie"
Fantasten,6.2,"One-time-watch movie"
Fanxiao,7.6,"Hit movie"
Fare,4.3,"Flop movie"
Fashionista,5.5,"One-time-watch movie"
"Fast Color",5.8,"One-time-watch movie"
"Fear Bay",4.2,"Flop movie"
Feedback,5.4,"One-time-watch movie"
Feedback,7.4,"Hit movie"
"Female Human Animal",5.5,"One-time-watch movie"
"Fifty Shades Freed",4.5,"Flop movie"
"Fighting the Sky",3.0,"Flop movie"
"Final Score",5.7,"One-time-watch movie"
"First Kill",5.0,"One-time-watch movie"
"First Light",5.5,"One-time-watch movie"
"First Reformed",7.1,"Hit movie"
"Five Fingers for Marseilles",6.2,"One-time-watch movie"
Fixeur,6.7,"One-time-watch movie"
Followers,3.7,"Flop movie"
Forushande,7.8,"Hit movie"
"Foto na pamyat",3.1,"Flop movie"
Found,5.8,"One-time-watch movie"
Fractured,5.6,"One-time-watch movie"
Fractured,6.3,"One-time-watch movie"
"Frazier Park Recut",5.1,"One-time-watch movie"
Freaks,6.9,"One-time-watch movie"
Freddy/Eddy,6.4,"One-time-watch movie"
"Frères ennemis",6.3,"One-time-watch movie"
"From a House on Willow Street",5.0,"One-time-watch movie"
Fuga,6.4,"One-time-watch movie"
Funôhan,5.3,"One-time-watch movie"
"Furthest Witness",4.1,"Flop movie"
"Gaddalakonda Ganesh",7.0,"Hit movie"
"Gali Guleiyan",7.1,"Hit movie"
"Game of Death",5.9,"One-time-watch movie"
"Game Over",7.2,"Hit movie"
Garbage,3.3,"Flop movie"
"Gas Light",4.1,"Flop movie"
"Gatta Cenerentola",6.8,"One-time-watch movie"
"Gehenna: Where Death Lives",5.0,"One-time-watch movie"
"Gemini Ganeshanum Suruli Raajanum",5.8,"One-time-watch movie"
Genius,4.6,"Flop movie"
Geostorm,5.3,"One-time-watch movie"
"Get Out",7.7,"Hit movie"
"Ghatel-e ahli",4.4,"Flop movie"
Ghost,8.7,"Superhit movie"
"Ghost House",4.7,"Flop movie"
"Ghost Note",5.8,"One-time-watch movie"
"Gi-eok-ui bam",7.4,"Hit movie"
"Girl Followed",4.9,"Flop movie"
Glass,6.7,"One-time-watch movie"
"Glass Jaw",7.2,"Hit movie"
"Gogol. Strashnaya mest",5.9,"One-time-watch movie"
"Gogol. Viy",5.8,"One-time-watch movie"
"Gol-deun seul-leom-beo",5.8,"One-time-watch movie"
"Good Time",7.3,"Hit movie"
Goodachari,7.8,"Hit movie"
Goodland,5.1,"One-time-watch movie"
Gremlin,3.8,"Flop movie"
Greta,6.0,"One-time-watch movie"
Grinder,4.0,"Flop movie"
"Gunned Down",5.1,"One-time-watch movie"
Gurgaon,6.6,"One-time-watch movie"
Ha-roo,6.8,"One-time-watch movie"
Haebing,6.4,"One-time-watch movie"
Halloween,6.6,"One-time-watch movie"
"Halloween Horror Tales",1.9,"Flop movie"
"Halt: The Motion Picture",3.7,"Flop movie"
"Hank Boyd Is Dead",4.6,"Flop movie"
"Happy Death Day",6.5,"One-time-watch movie"
Harmony,5.3,"One-time-watch movie"
"Haseena Parkar",4.2,"Flop movie"
"Hate Story IV",3.3,"Flop movie"
Hattrick,5.9,"One-time-watch movie"
Haunt,6.3,"One-time-watch movie"
Haunted,4.6,"Flop movie"
"Havana Darkness",3.9,"Flop movie"
Havenhurst,4.8,"Flop movie"
Haze,6.0,"One-time-watch movie"
"Head Count",5.3,"One-time-watch movie"
Heartthrob,5.5,"One-time-watch movie"
Hebbuli,7.2,"Hit movie"
"Heesaeng boohwalja",5.7,"One-time-watch movie"
Heilstätten,4.1,"Flop movie"
"Hell Is Where the Home Is",5.8,"One-time-watch movie"
"Hell of a Night",3.3,"Flop movie"
Hesperia,4.1,"Flop movie"
Hex,4.9,"Flop movie"
Hex,4.9,"Flop movie"
HHhH,6.4,"One-time-watch movie"
"Hide in the Light",3.7,"Flop movie"
"High Heel Homicide",3.6,"Flop movie"
"Higher Power",5.4,"One-time-watch movie"
"His Perfect Obsession",5.2,"One-time-watch movie"
"Hitsuji no ki",6.4,"One-time-watch movie"
"Hollow in the Land",5.6,"One-time-watch movie"
"Home Is Where the Killer Is",4.6,"Flop movie"
Homestay,7.5,"Hit movie"
"Hometown Killer",5.8,"One-time-watch movie"
"Hong hai xing dong",6.7,"One-time-watch movie"
"Hong yi xiao nu hai 2",5.5,"One-time-watch movie"
Hongo,6.3,"One-time-watch movie"
Hospitality,4.5,"Flop movie"
"Hotel Mumbai",7.6,"Hit movie"
"Hounds of Love",6.5,"One-time-watch movie"
"House by the Lake",3.6,"Flop movie"
"House of Afflictions",2.5,"Flop movie"
Housewife,4.8,"Flop movie"
"Hunter Killer",6.6,"One-time-watch movie"
"Hush Money",6.0,"One-time-watch movie"
Hyeob-sang,6.5,"One-time-watch movie"
"I Before Thee",3.5,"Flop movie"
"I Kill Giants",6.2,"One-time-watch movie"
"I See You",2.6,"Flop movie"
"I Spit on Your Grave: Deja Vu",2.4,"Flop movie"
"I Still See You",5.8,"One-time-watch movie"
Identical,3.4,"Flop movie"
"Il permesso - 48 ore fuori",6.0,"One-time-watch movie"
"Il signor Diavolo",6.3,"One-time-watch movie"
"Il testimone invisibile",6.7,"One-time-watch movie"
Illicit,4.7,"Flop movie"
Illusions,7.2,"Hit movie"
"Immigration Game",3.3,"Flop movie"
"In Darkness",5.8,"One-time-watch movie"
"In Extremis",4.3,"Flop movie"
"In the Cloud",3.6,"Flop movie"
"In the Tall Grass",5.5,"One-time-watch movie"
"In This Gray Place",6.9,"One-time-watch movie"
"In un giorno la fine",5.4,"One-time-watch movie"
Incitement,7.5,"Hit movie"
Incoming,3.2,"Flop movie"
Inconceivable,5.2,"One-time-watch movie"
Incontrol,4.2,"Flop movie"
"Indu Sarkar",6.0,"One-time-watch movie"
"Infection: The Invasion Begins",2.3,"Flop movie"
"Infinity Chamber",6.2,"One-time-watch movie"
Inhumane,2.9,"Flop movie"
Innuendo,5.5,"One-time-watch movie"
"Inori no maku ga oriru toki",7.1,"Hit movie"
Inside,5.1,"One-time-watch movie"
"Insidious: The Last Key",5.7,"One-time-watch movie"
Insomnium,5.5,"One-time-watch movie"
Inspiration,7.1,"Hit movie"
Instakiller,4.7,"Flop movie"
Instinct,6.4,"One-time-watch movie"
"Intensive Care",3.8,"Flop movie"
Inuyashiki,6.7,"One-time-watch movie"
"Investigation 13",4.6,"Flop movie"
Involution,3.6,"Flop movie"
Ira,5.6,"One-time-watch movie"
Ira,6.9,"One-time-watch movie"
Irada,6.2,"One-time-watch movie"
"Iravukku Aayiram Kangal",7.3,"Hit movie"
"Irumbu Thirai",7.7,"Hit movie"
"Is This Now",7.8,"Hit movie"
Isabelle,4.3,"Flop movie"
Ishq,7.6,"Hit movie"
"It Kills",2.4,"Flop movie"
Ittefaq,7.2,"Hit movie"
Jackals,5.4,"One-time-watch movie"
Jagveld,5.9,"One-time-watch movie"
